ID,NAME,md_HHinc_Est2016
6001440307,60014403.07,53417
6001440308,60014403.08,79191
6001440331,60014403.31,72730
6001440332,60014403.32,161146
6001440333,60014403.33,122813
6001440334,60014403.34,113196
6001440335,60014403.35,119856
6001440336,60014403.36,78205
6001441100,60014411,86235
6001441200,60014412,108393
6001441301,60014413.01,121000
6001441302,60014413.02,108700
6001441401,60014414.01,110662
6001441402,60014414.02,128750
6001441501,60014415.01,135139
6001441503,60014415.03,151970
6001441521,60014415.21,123040
6001441522,60014415.22,93750
6001441523,60014415.23,125110
6001441524,60014415.24,153017
6001441601,60014416.01,110156
6001441602,60014416.02,90433
6001441700,60014417,95776
6001441800,60014418,105106
6001441921,60014419.21,120393
6001441923,60014419.23,84145
6001441924,60014419.24,120781
6001441925,60014419.25,112917
6001441926,60014419.26,81250
6001441927,60014419.27,94056
6001442000,60014420,163646
6001442100,60014421,167000
6001442200,60014422,158953
6001442301,60014423.01,86618
6001442302,60014423.02,79208
6001442400,60014424,100813
6001442500,60014425,74234
6001442601,60014426.01,126927
6001442602,60014426.02,96458
6001442700,60014427,112063
6001442800,60014428,97336
6001442900,60014429,101343
6001443001,60014430.01,100121
6001443002,60014430.02,84858
6001443102,60014431.02,160638
6001443103,60014431.03,214063
6001443104,60014431.04,125313
6001443105,60014431.05,153514
6001443200,60014432,214013
6001443301,60014433.01,146850
6001443321,60014433.21,114948
6001443322,60014433.22,149583
6001444100,60014441,98125
6001444200,60014442,89338
6001444301,60014443.01,96635
6001444302,60014443.02,74750
6001444400,60014444,82112
6001444500,60014445,89277
6001444601,60014446.01,103103
6001444602,60014446.02,101946
6001450101,60014501.01,128731
6001450102,60014501.02,145395
6001450200,60014502,106050
6001450300,60014503,109036
6001450400,60014504,90542
6001450501,60014505.01,109432
6001450502,60014505.02,151016
6001450601,60014506.01,140170
6001450602,60014506.02,136630
6001450603,60014506.03,124000
6001450604,60014506.04,136326
6001450605,60014506.05,129833
6001450606,60014506.06,165042
6001450607,60014506.07,90745
6001450701,60014507.01,183354
6001450741,60014507.41,113611
6001450742,60014507.42,123071
6001450743,60014507.43,109410
6001450744,60014507.44,133359
6001450745,60014507.45,152813
6001450746,60014507.46,105278
6001450750,60014507.5,103929
6001450751,60014507.51,184539
6001450752,60014507.52,177093
6001451101,60014511.01,149203
6001451102,60014511.02,163170
6001451201,60014512.01,92450
6001451202,60014512.02,113828
6001451300,60014513,100699
6001451401,60014514.01,94063
6001451403,60014514.03,106250
6001451404,60014514.04,55994
6001451501,60014515.01,103350
6001451503,60014515.03,94013
6001451504,60014515.04,110563
6001451505,60014515.05,150388
6001451506,60014515.06,92198
6001451601,60014516.01,136836
6001451602,60014516.02,85925
6001451701,60014517.01,103005
6001451703,60014517.03,130369
6001451704,60014517.04,96964
6001981900,60019819,105714
6001982000,60019820,160417
6001983200,60019832,131250
6003010000,60030100,62375
6005000101,60050001.01,49766
6005000102,60050001.02,47969
6005000200,60050002,61048
6005000301,60050003.01,66944
6005000303,60050003.03,55530
6005000304,60050003.04,66537
6005000401,60050004.01,47949
6005000402,60050004.02,64301
6005000500,60050005,60049
6007000102,60070001.02,52969
6007000103,60070001.03,78633
6007000104,60070001.04,39568
6007000201,60070002.01,50452
6007000202,60070002.02,34167
6007000300,60070003,28611
6007000401,60070004.01,54904
6007000402,60070004.02,77058
6007000501,60070005.01,48929
6007000502,60070005.02,18766
6007000601,60070006.01,61818
6007000603,60070006.03,25809
6007000604,60070006.04,16971
6007000700,60070007,43697
6007000800,60070008,61964
6007000901,60070009.01,84310
6007000903,60070009.03,46542
6007000904,60070009.04,69459
6007001000,60070010,32841
6007001100,60070011,27222
6007001200,60070012,23409
6007001300,60070013,30773
6007001400,60070014,86759
6007001500,60070015,74570
6007001600,60070016,71953
6007001702,60070017.02,46071
6007001703,60070017.03,50203
6007001704,60070017.04,41279
6007001800,60070018,39074
6007001900,60070019,54977
6007002000,60070020,54228
6007002100,60070021,40747
6007002200,60070022,50907
6007002300,60070023,41794
6007002400,60070024,33603
6007002500,60070025,36103
6007002601,60070026.01,51206
6007002602,60070026.02,41604
6007002700,60070027,48535
6007002800,60070028,21338
6007002900,60070029,41543
6007003001,60070030.01,29330
6007003002,60070030.02,35500
6007003100,60070031,44783
6007003200,60070032,40000
6007003300,60070033,46133
6007003400,60070034,48171
6007003501,60070035.01,51726
6007003502,60070035.02,38527
6007003600,60070036,53417
6007003700,60070037,31952
6009000120,60090001.2,68036
6009000121,60090001.21,51588
6009000122,60090001.22,39338
6009000210,60090002.1,77043
6009000220,60090002.2,55057
6009000300,60090003,41843
6009000400,60090004,32558
6009000501,60090005.01,51888
6009000503,60090005.03,63214
6009000504,60090005.04,34958
6011000100,60110001,61781
6011000200,60110002,54722
6011000300,60110003,57864
6011000400,60110004,49087
6011000500,60110005,50422
6013301000,60133010,53750
6013302005,60133020.05,51186
6013302006,60133020.06,87869
6013302007,60133020.07,71023
6013302008,60133020.08,85597
6013302009,60133020.09,96814
6013302010,60133020.1,109093
6013303102,60133031.02,105821
6013303103,60133031.03,80373
6013303201,60133032.01,96442
6013303202,60133032.02,94788
6013303203,60133032.03,109150
6013303204,60133032.04,68718
6013303205,60133032.05,84306
6013304001,60133040.01,114306
6013304002,60133040.02,57813
6013304003,60133040.03,88750
6013304004,60133040.04,106337
