TRI_FACILITY_ID,count,FACILITY_NAME,COUNTY,air_releases,fugitive_air,stack_air,LATITUDE,LONGITUDE
94587CPNRG34400,2,PHIBRO-TECH INC,ALAMEDA,2109,2109,0,37.59109,-122.01042
94587DSTNC1205A,2,DESOTO INC,ALAMEDA,331,26,305,37.602101,-122.033442
94587NTDST1295W,1,US PIPE & FOUNDRY CO LLC,ALAMEDA,1000,750,250,37.60599,-122.04237
94587RCNCR1570A,2,ORCON CORP,ALAMEDA,62100,500,61600,37.60215,-122.04221
94589CRSNS501GR,5,ICI RESINS US,SOLANO,1974,970,1004,38.19524,-122.26552
94590DGSSL403RY,2,TIMET,SOLANO,60,0,60,38.09162,-122.25043
94601BWNRT3100E,3,CLEVELAND STEEL CONTAINER CORP,ALAMEDA,40900,29612,11288,37.77567,-122.22779
94601DLMNT3100E,3,CALIFORNIA / WASHINGTON CAN CORP,ALAMEDA,71996,50860,21136,37.773721,-122.228733
94601PCFCG71546,1,PACIFIC GALVANIZING INC,ALAMEDA,250,250,0,37.766158,-122.217597
94601SPSTP2904C,3,ESPOSITO PLATING & POLISHING CO,ALAMEDA,750,750,0,37.77336,-122.23292
94603FLSCH92198,1,FLEISCHMANN'S YEAST,ALAMEDA,21100,21100,0,37.73973,-122.17908
94603NBSCB92198,1,NABISCO INC FLEISCHMANN'S CO,ALAMEDA,6877,6877,0,37.73972,-122.17907
94603NTNLR7200L,2,NATIONAL AIRMOTIVE CORP,ALAMEDA,17707,13000,4707,37.73992,-122.21869
94604MRCNN3801E,2,AMERICAN NATIONAL CAN CO,ALAMEDA,38006,21456,16550,37.77175,-122.22473
94607DCTCM7154T,6,E-D COAT INC.,ALAMEDA,5750,5750,0,37.79995,-122.28191
94607GLBMT18201,1,GLOBE METALS CO,ALAMEDA,250,250,0,37.811279999999996,-122.30203
94607RDSTR13845,1,LESAFFRE YEAST CORP,ALAMEDA,750,750,0,37.803711,-122.293692
94608BRBRY4300E,4,BARBARY COAST STEEL CORP,ALAMEDA,61,0,61,37.841721,-122.298436
94608CHRLS1400P,1,CHARLES LOWE CO CHROMEX DIV,ALAMEDA,500,250,250,37.83087,-122.28746
94608CLRPR14826,1,CLEARPRINT PAPER CO,ALAMEDA,69408,0,69408,37.84865,-122.29312
94608LCTRC1421P,1,ELECTRO-COATINGS INC,ALAMEDA,2400,2400,0,37.83094,-122.28717
94608SHRWN1450S,3,SHERWIN-WILLIAMS CO.,ALAMEDA,5410,5410,0,37.83183,-122.28889
94609CLTCH84131,1,CAL-TECH METAL FINISHING INC,ALAMEDA,250,250,0,37.82118,-122.27452
94621BTSGR8001E,1,BTS GROUP,ALAMEDA,22780,22780,0,37.74009,-122.2017
94621CSPRS10477,2,CASPER'S INDUSTRIES INC,ALAMEDA,11470,11470,0,37.7542,-122.18957
94621MRCNB7825S,1,AB&I FOUNDRY,ALAMEDA,480110,480110,0,37.75002,-122.19409
94621THQKR5625E,1,QUAKER OATS CO,ALAMEDA,250,250,0,37.766462,-122.202335
94621WNSBR8717G,1,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 27,ALAMEDA,250,250,0,37.747848,-122.184504
94621WNSLL3600A,4,OWENS-BROCKWAY GLASS CONTAINER INC - PLANT #20,ALAMEDA,36045,0,36045,37.76824,-122.22724
94662LVRRB12006,1,OLIVER RUBBER CO,ALAMEDA,500,250,250,37.84747,-122.28809
94710CTTRB4THAN,1,BAYER HEALTHCARE PHARMACEUTICALS,ALAMEDA,32750,750,32000,37.858361,-122.295611
94710DSTNC1608F,12,COURTAULDS AEROSPACE,ALAMEDA,21150,16800,4350,37.87284,-122.30155
94710FLNTN750GI,2,FLINT INK CORP,ALAMEDA,1000,500,500,37.878827,-122.304073
94710MRLDP2821T,2,EMERALD PACKAGING INC,ALAMEDA,515000,200000,315000,37.85517,-122.2889
94710NTNLS742GR,3,NATIONAL STARCH & CHEMICAL CO,ALAMEDA,2000,750,1250,37.85461,-122.2959
94710PCFCS1333S,7,PACIFIC STEEL CASTING CO,ALAMEDA,155194,15570,139624,37.8774,-122.30543
94710THPQC801GR,1,PQ CORP,ALAMEDA,500,250,250,37.85487,-122.29459
94710WSTRN12256,1,WESTERN ROTO ENGRAVERS INC,ALAMEDA,1050,250,800,37.88067,-122.30174
94801JHNLR7THAN,1,JOHN L ARMITAGE & CO,CONTRA COSTA,750,750,0,37.95869,-122.36153
94801MYRSC900BR,2,MYERS CONTAINER CORP,CONTRA COSTA,81250,80000,1250,37.96577,-122.36096
94801STFFR525MA,3,RHONE-POULENC BASIC CHEMICALS CO,CONTRA COSTA,3795,400,3395,37.97589,-122.36696
94802CHVRN576ST,28,CHEVRON RICHMOND TECHNOLOGY CENTER,CONTRA COSTA,24150,4500,19650,37.93047,-122.38944
94802CHVRN841ST,27,CHEVRON PRODUCTS CO RICHMOND REFINERY,CONTRA COSTA,315750,221250,94500,37.938779,-122.396453
94802GNRLC525CA,1,CHEMTRADE WEST US LLC,CONTRA COSTA,750,0,750,37.940278,-122.377222
94802MRWSS1BARR,4,PINOLE POINT STEEL CO COLORSTRIP DIV,CONTRA COSTA,3100,750,2350,37.93843,-122.36889
94804BRDLB32NDA,3,BIO-RAD LABORATORIES INC,CONTRA COSTA,40250,750,39500,37.91481,-122.33916
94804CHVRN835CA,3,CHEVRON CHEMICAL CO,CONTRA COSTA,48526,47094,1432,37.946128,-122.372518
94804CHVRN940HA,5,CHEVRON CHEMICAL CO ORTHO PILOT PLANT,CONTRA COSTA,2250,750,1500,37.9456,-122.36923
94804CHVRN940HE,6,CHEVRON CHEMICAL CO,CONTRA COSTA,185745,185735,10,37.94557,-122.36893
