site,moist_g,dry_g,moist_prop,empty_part_cm,vol_cc,bulk_dens,moist_vol_prop
1,176.98,155.11,0.14,1.9,148.4,1.05,0.15
2,199.57,180.46,0.11,0.5,173.7,1.04,0.11
3,258,242.53,0.06,0,182.8,1.33,0.08
4,184.42,175.06,0.05,3,128.5,1.36,0.07
5,205.45,189.49,0.08,0.9,166.5,1.14,0.10
6,185.55,163.52,0.13,1.5,155.6,1.05,0.14
7,NA,NA,NA,NA,NA,NA,NA
8,190.37,130.36,0.46,2,146.6,0.89,0.41
9,191.99,179.98,0.07,0,182.8,0.98,0.07
10,NA,NA,NA,NA,NA,NA,NA
11,207.65,175.09,0.19,2,146.6,1.19,0.22
