geometry,SAMPLE_DATE,SITE_ID,SITE_NAME,SITE_TYPE,Total Coliform,Enterococcus,E. Coli
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,185,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,657,,2014
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,350,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,195,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,74,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-28T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,108,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-21T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,309,,12033
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-14T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,120,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-31T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-17T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1259,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-10T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,86,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,97,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-27T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,74,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-06T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,19863
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,14136
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,231,,2400
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-15T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,41,,9804
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,355,,2924
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,216,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-03-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1019,,19863
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-03-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1565,,8164
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-03-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,146,,2075
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-02-24T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,168,,2723
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-02-18T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,63,,2359
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-02-10T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,1421
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-02-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,185,,1607
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-01-27T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,393,,2098
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-01-21T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,650,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-12-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,573,,7701
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-12-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,548,,6867
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-12-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,228,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-11-25T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,393,,1439
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-11-18T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,146,,723
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-11-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,1785
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-11-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,262,,1071
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-10-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,359,,2282
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-10-21T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,122,,1842
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-10-15T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,487,,5172
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-10-07T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,960,,2755
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-09-30T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,201,,2723
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-09-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,448,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-09-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,24196,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-09-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,857,,4884
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-09-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1076,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-08-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1112,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-08-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,789,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-08-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,435,,12033
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-08-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1076,,12033
