site_no,datetime,Q,waterTmax,waterTmin,EC
10343500,1970-05-08,47.0,NA,NA,NA
10343500,1970-05-09,50.0,NA,NA,NA
10343500,1970-05-10,47.0,NA,NA,NA
10343500,1970-05-11,40.0,10.0,3.9,NA
10343500,1970-05-12,39.0,11.1,5.0,NA
10343500,1970-05-13,41.0,11.1,4.4,NA
10343500,1970-05-14,42.0,10.6,4.4,NA
10343500,1970-05-15,44.0,NA,NA,NA
10343500,1970-05-16,48.0,NA,NA,NA
10343500,1970-05-17,52.0,NA,NA,NA
10343500,1970-05-18,54.0,12.8,5.6,NA
10343500,1970-05-19,51.0,12.2,3.9,NA
10343500,1970-05-20,48.0,13.9,4.4,NA
10343500,1970-05-21,47.0,NA,NA,NA
10343500,1970-05-22,46.0,NA,NA,NA
10343500,1970-05-23,46.0,NA,NA,NA
10343500,1970-05-24,44.0,NA,NA,NA
10343500,1970-05-25,44.0,15.0,6.1,NA
10343500,1970-05-26,45.0,14.4,6.7,NA
10343500,1970-05-27,43.0,13.9,5.0,NA
10343500,1970-05-28,40.0,NA,NA,NA
10343500,1970-05-29,39.0,NA,NA,NA
10343500,1970-05-30,37.0,NA,NA,NA
10343500,1970-05-31,35.0,NA,NA,NA
10343500,1970-06-01,34.0,16.1,7.2,NA
10343500,1970-06-02,33.0,NA,NA,NA
10343500,1970-06-03,33.0,NA,NA,NA
10343500,1970-06-04,32.0,NA,NA,NA
10343500,1970-06-05,34.0,NA,NA,NA
10343500,1970-06-06,32.0,NA,NA,NA
10343500,1970-06-07,29.0,NA,NA,NA
10343500,1970-06-08,31.0,NA,NA,NA
10343500,1970-06-09,30.0,NA,NA,NA
10343500,1970-06-10,27.0,NA,NA,NA
10343500,1970-06-11,24.0,14.4,7.2,NA
10343500,1970-06-12,25.0,NA,NA,NA
10343500,1970-06-13,24.0,NA,NA,NA
10343500,1970-06-14,21.0,NA,NA,NA
10343500,1970-06-15,20.0,NA,NA,NA
10343500,1970-06-16,18.0,15.6,6.7,NA
10343500,1970-06-17,17.0,NA,NA,NA
10343500,1970-06-18,16.0,NA,NA,NA
10343500,1970-06-19,15.0,NA,NA,NA
10343500,1970-06-20,15.0,NA,NA,NA
10343500,1970-06-21,16.0,NA,NA,NA
10343500,1970-06-22,15.0,18.3,10.6,NA
10343500,1970-06-23,14.0,NA,NA,NA
10343500,1970-06-24,13.0,NA,NA,NA
10343500,1970-06-25,12.0,NA,NA,NA
10343500,1970-06-26,19.0,NA,NA,NA
10343500,1970-06-27,20.0,NA,NA,NA
10343500,1970-06-28,15.0,NA,NA,NA
