SITE,DATE,TIME,SOIL  F,    SOIL C,     CO2%
4,10/26/1997,10:15:00,34.7,1.5,0.43
5,10/26/1997,10:30:00,39.92,4.4,0.24
5,10/26/1997,10:30:00,39.92,4.4,0.24
5,10/26/1997,10:30:00,39.56,4.2,0.2
5,10/26/1997,10:30:00,39.56,4.2,0.22
6,10/26/1997,10:45:00,43.52,6.4,0.48
6,10/26/1997,10:45:00,42.44,5.8,0.33
7,10/26/1997,10:55:00,44.24,6.8,0.21
7,10/26/1997,10:55:00,44.24,6.8,0.18
7,10/26/1997,10:55:00,44.42,6.9,0.95
7,10/26/1997,10:55:00,44.42,6.9,0.99
8,10/26/1997,11:10:00,36.14,2.3,1.26
8,10/26/1997,11:10:00,36.14,2.3,1.29
9,10/26/1997,11:20:00,38.66,3.7,0.4
9,10/26/1997,11:20:00,38.66,3.7,0.39
10,10/26/1997,11:25:00,36.32,2.4,0.51
10,10/26/1997,11:25:00,36.32,2.4,0.55
11,10/26/1997,11:30:00,41,5,0.39
11,10/26/1997,11:30:00,41,5,0.4
11,10/26/1997,11:30:00,41,5,0.4
11,10/26/1997,11:30:00,38.12,3.4,0.33
11,10/26/1997,11:30:00,38.12,3.4,0.34
11,10/26/1997,11:30:00,38.12,3.4,0.36
