STATION_NAME,COUNTY,ELEVATION,LATITUDE,LONGITUDE,PRECIPITATION,TEMPERATURE
"SOUTH LAKE, CA US",Inyo,2920,37.1683,-118.5705,83.57,NA
"YOSEMITE PARK HEADQUARTERS, CA US",Mariposa,1224.7,37.75,-119.5897,169.16,5
"BISHOP CRK INTAKE 2, CA US",Inyo,2485.3,37.248,-118.5813,49.02,NA
"BOCA, CA US",Nevada,1699.3,39.3886,-120.0936,86.11,-1.4
"HUNTINGTON LAKE, CA US",Fresno,2139.7,37.2275,-119.22056,204.22,1.3
"LODGEPOLE, CA US",Tulare,2052.8,36.6044,-118.7325,214.38,-1.4
"PACIFIC HOUSE, CA US",El Dorado,1051.6,38.7583,-120.503,220.22,NA
"MAMMOTH LAKES RANGER STATION, CA US",Mono,2378.7,37.6478,-118.9617,NA,-2.3
"COLFAX, CA US",Placer,725.4,39.0911,-120.948,207.26,7.3
"COLGATE POWERHOUSE, CA US",Yuba,181.4,39.3308,-121.1922,168.91,NA
"BODIE CALIFORNIA STATE HISTORIC PARK, CA US",Mono,2551.2,38.2119,-119.0142,39.62,-4.4
